date,epiyear,epiweek,location,flu.admits
2022-07-16,2022,28,13,26
2022-07-23,2022,29,13,26
2022-07-30,2022,30,13,33
2022-08-06,2022,31,13,31
2022-08-13,2022,32,13,13
2022-08-20,2022,33,13,19
2022-08-27,2022,34,13,17
2022-09-03,2022,35,13,22
2022-09-10,2022,36,13,38
2022-09-17,2022,37,13,36
2022-09-24,2022,38,13,39
2022-10-01,2022,39,13,54
2022-10-08,2022,40,13,87
2022-10-15,2022,41,13,113
2022-10-22,2022,42,13,119
2022-10-29,2022,43,13,176
2022-11-05,2022,44,13,217
2022-11-12,2022,45,13,250
2022-11-19,2022,46,13,193
2022-11-26,2022,47,13,251
2022-12-03,2022,48,13,252
2022-12-10,2022,49,13,172
2022-12-17,2022,50,13,138
2022-12-24,2022,51,13,162
2022-12-31,2022,52,13,195
2023-01-07,2023,1,13,168
2023-01-14,2023,2,13,106
2023-01-21,2023,3,13,71
2023-01-28,2023,4,13,70
2023-02-04,2023,5,13,88
2023-02-11,2023,6,13,82
2023-02-18,2023,7,13,69
2023-02-25,2023,8,13,70
2023-03-04,2023,9,13,44
2023-03-11,2023,10,13,55
2023-03-18,2023,11,13,51
2023-03-25,2023,12,13,68
2023-04-01,2023,13,13,49
2023-04-08,2023,14,13,48
2023-04-15,2023,15,13,30
2023-04-22,2023,16,13,48
2023-04-29,2023,17,13,40
2023-05-06,2023,18,13,36
2023-05-13,2023,19,13,52
2023-05-20,2023,20,13,29
2023-05-27,2023,21,13,38
2022-02-12,2022,6,15,0
2022-02-19,2022,7,15,0
2022-02-26,2022,8,15,0
2022-03-05,2022,9,15,0
2022-03-12,2022,10,15,0
2022-03-19,2022,11,15,1
2022-03-26,2022,12,15,0
2022-04-02,2022,13,15,1
2022-04-09,2022,14,15,4
2022-04-16,2022,15,15,10
2022-04-23,2022,16,15,6
2022-04-30,2022,17,15,4
2022-05-07,2022,18,15,1
2022-05-14,2022,19,15,4
2022-05-21,2022,20,15,10
2022-05-28,2022,21,15,9
2022-06-04,2022,22,15,4
2022-06-11,2022,23,15,3
2022-06-18,2022,24,15,4
2022-06-25,2022,25,15,6
2022-07-02,2022,26,15,4
2022-07-09,2022,27,15,2
2022-07-16,2022,28,15,0
2022-07-23,2022,29,15,1
2022-07-30,2022,30,15,2
2022-08-06,2022,31,15,3
2022-08-13,2022,32,15,2
2022-08-20,2022,33,15,0
2022-08-27,2022,34,15,1
2022-09-03,2022,35,15,2
2022-09-10,2022,36,15,1
2022-09-17,2022,37,15,2
2022-09-24,2022,38,15,3
2022-10-01,2022,39,15,5
2022-10-08,2022,40,15,4
2022-10-15,2022,41,15,6
2022-10-22,2022,42,15,4
2022-10-29,2022,43,15,6
2022-11-05,2022,44,15,8
2022-11-12,2022,45,15,25
2022-11-19,2022,46,15,10
2022-11-26,2022,47,15,12
2022-12-03,2022,48,15,12
2022-12-10,2022,49,15,11
2022-12-17,2022,50,15,17
2022-12-24,2022,51,15,31
2022-12-31,2022,52,15,28
2023-01-07,2023,1,15,10
2023-01-14,2023,2,15,9
