forecast_date,target,target_end_date,location,type,quantile,value
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.100,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.100,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.100,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.100,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.150,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.150,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.150,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.150,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.200,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.200,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.200,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.200,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.250,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.250,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.250,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.250,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.300,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.300,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.300,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.300,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.350,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.350,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.350,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.350,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.400,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.400,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.400,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.400,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.450,105
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.450,163
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.450,170
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.450,128
2023-06-01,1 month ahead inc flu hosp,2023-06-01,06,quantile,0.500,276
2023-06-01,2 month ahead inc flu hosp,2023-07-01,06,quantile,0.500,396
2023-06-01,3 month ahead inc flu hosp,2023-08-01,06,quantile,0.500,435
2023-06-01,4 month ahead inc flu hosp,2023-09-01,06,quantile,0.500,419
